id,name,brand,category,price,ingredients,key_ingredients,benefits,side_effects,is_natural,concentrations,usage,application_tips,skin_types,skin_concerns,allergens,sensitivities
27,Tea Tree Facial Scrub,Tea Tree,Scrub,2210.0,Tea Tree Oil,Tea Tree Oil,"Exfoliates, treats acne",Possible dryness,1,Standard,Weekly,"Gently massage on wet face, rinse","Oily, Acne-Prone","Acne, Dullness",NULL,Sensitive to Tea Tree Oil
28,Prevense Fair Intense 1 For All Skin Types 50ml,Prevense,Cream,3250.0,Fairness Agents,Fairness Agents,"Evens skin tone, brightens",NULL,1,Standard,Daily,Apply evenly on cleansed face,All Skin Types,Uneven Skin Tone,NULL,NULL
29,Prevense Fair Intense 2 For All Skin Types 50ml,Prevense,Cream,2115.0,Fairness Agents,Fairness Agents,"Evens skin tone, brightens",NULL,1,Standard,Daily,Apply evenly on cleansed face,All Skin Types,Uneven Skin Tone,NULL,NULL
30,Prevense Cleanser for All Skin Types 120ml,Prevense,Cleanser,825.0,Cleansing Agents,Cleansing Agents,"Cleanses, refreshes skin",NULL,1,Standard,Daily,"Apply to wet face, lather and rinse",All Skin Types,"Dullness, Oiliness",NULL,NULL
31,Prevense Grape Seed & Jojoba Facial Wash For Sensitive Skin 120ml,Prevense,Face Wash,990.0,"Grape Seed, Jojoba","Grape Seed, Jojoba","Nourishes, soothes sensitive skin",NULL,1,Standard,Daily,"Apply to wet face, lather and rinse",Sensitive Skin,"Dryness, Sensitivity",NULL,NULL
32,Prevense Apricot Facial Scrub For Normal To Dry Skin 120ml,Prevense,Scrub,1290.0,"Apricot, Almond","Apricot, Almond","Exfoliates, moisturizes",NULL,1,Standard,Weekly,"Gently massage on wet face, rinse",Normal to Dry,"Dryness, Dullness",NULL,NULL
33,Prevense Grape Fruit Scrub & Cleanser For Oily Skin 120ml,Prevense,Scrub,1290.0,Grapefruit Extract,Grapefruit Extract,"Cleanses, refreshes oily skin",NULL,1,Standard,Weekly,"Gently massage on wet face, rinse",Oily Skin,"Oiliness, Dullness",NULL,NULL
34,Prevense Men Face Wash For All Skin Types 120ml,Prevense,Face Wash,990.0,Active Agents,Active Agents,"Energizes, cleanses",NULL,1,Standard,Daily,"Apply to wet face, lather and rinse",All Skin Types,"Dullness, Oiliness",NULL,NULL
35,Prevense Strawberry & Aloe Facial Wash For Normal To Combination Skin 120ml,Prevense,Face Wash,990.0,"Strawberry, Aloe","Strawberry, Aloe","Hydrates, refreshes",NULL,1,Standard,Daily,"Apply to wet face, lather and rinse",Normal to Combo,"Dryness, Dullness",NULL,NULL
36,Prevense Apricot & Almond Facial Wash For Dry Skin 120ml,Prevense,Face Wash,670.0,"Apricot, Almond","Apricot, Almond","Nourishes, moisturizes",NULL,1,Standard,Daily,"Apply to wet face, lather and rinse",Dry Skin,"Dryness, Dullness",NULL,NULL
37,Prevense Carrot & Pumpkin Facial Wash For Mature Dry Skin 120ml,Prevense,Face Wash,990.0,"Carrot, Pumpkin","Carrot, Pumpkin","Nourishes, revitalizes",NULL,1,Standard,Daily,"Apply to wet face, lather and rinse",Mature Dry Skin,"Dryness, Dullness",NULL,NULL
38,Swabha Ceylon Natural Brightening Face Wash 100ml,Swabha Ceylon,Face Wash,500.0,Natural Extracts,Natural Extracts,"Brightens, rejuvenates",NULL,1,Standard,Daily,"Apply to wet face, lather and rinse",All Skin Types,"Dullness, Uneven Tone",NULL,NULL
39,Dr. Rashel - Niacinamide Whitening Face Wash 100g,Dr. Rashel,Face Wash,1457.0,Niacinamide,Niacinamide,"Whitens, brightens skin",NULL,1,Standard,Daily,"Apply to wet face, lather and rinse",All Skin Types,"Dullness, Uneven Tone",NULL,NULL
40,Dr. Rashel- 24K Gold Anti-Aging Face Wash 100g,Dr. Rashel,Face Wash,1588.6,24K Gold,24K Gold,"Anti-aging, rejuvenates skin",NULL,1,Standard,Daily,"Apply to wet face, lather and rinse",All Skin Types,"Aging, Dullness",NULL,NULL
41,OxyGlow Pearl Whitening Face Wash 100ml,OxyGlow,Face Wash,1750.0,Pearl Extracts,Pearl Extracts,"Whitens, brightens skin",NULL,1,Standard,Daily,"Apply to wet face, lather and rinse",All Skin Types,"Dullness, Uneven Tone",NULL,NULL
42,OxyGlow Gold & Saffron Face Wash 100ml,OxyGlow,Face Wash,1885.0,"Gold, Saffron","Gold, Saffron","Nourishes, revitalizes",NULL,1,Standard,Daily,"Apply to wet face, lather and rinse",All Skin Types,"Dullness, Aging",NULL,NULL
43,Jovees Tea Tree Oil Balance Face Wash 120ml,Jovees,Face Wash,2330.0,Tea Tree Oil,Tea Tree Oil,"Balances oil, treats acne",Possible dryness,1,Standard,Daily,"Apply to wet face, lather and rinse","Oily, Acne-Prone","Acne, Oiliness",NULL,Sensitive to Tea Tree Oil
44,Jovees Grape Face Wash for a Brighter & Glowing Skin 120ml,Jovees,Face Wash,1865.0,Grape Extracts,Grape Extracts,"Brightens, refreshes",NULL,1,Standard,Daily,"Apply to wet face, lather and rinse",All Skin Types,"Dullness, Uneven Tone",NULL,NULL
45,Jovees Strawberry Face Wash for a Sheer Moisture & Glowing Skin 120ml,Jovees,Face Wash,1710.0,Strawberry Extracts,Strawberry Extracts,"Moisturizes, brightens",NULL,1,Standard,Daily,"Apply to wet face, lather and rinse",Normal to Dry,"Dryness, Dullness",NULL,NULL
46,Prevense Neem Face Wash for Oil & Acne Prone Skin 100ml,Prevense,Face Wash,1150.0,Neem Extracts,Neem Extracts,"Treats acne, controls oil",Possible dryness,1,Standard,Daily,"Apply to wet face, lather and rinse","Oily, Acne-Prone","Acne, Oiliness",NULL,Sensitive to Neem
47,Himalaya Oil Clear Lemon Face Wash 100ml,Himalaya,Face Wash,1391.2,Lemon Extracts,Lemon Extracts,"Controls oil, refreshes",NULL,1,Standard,Daily,"Apply to wet face, lather and rinse",Oily Skin,"Oiliness, Dullness",NULL,NULL
48,Himalaya Tan Removal Orange Face Wash 100ml,Himalaya,Face Wash,1391.2,Orange Extracts,Orange Extracts,"Removes tan, brightens",NULL,1,Standard,Daily,"Apply to wet face, lather and rinse",All Skin Types,"Dullness, Uneven Tone",NULL,NULL
49,Aroma Magic Mint Cleanser 25g,Aroma Magic,Cleanser,869.5,Mint Extracts,Mint Extracts,"Cleanses, refreshes",NULL,1,Standard,Daily,"Apply to wet face, lather and rinse",All Skin Types,"Dullness, Oiliness",NULL,NULL
50,Tea Tree Moisturising Treatment Pack,Tea Tree,Treatment,4760.0,Tea Tree Oil,Tea Tree Oil,"Moisturizes, treats acne",Possible dryness,1,Standard,Weekly,"Apply to cleansed face, leave on","Oily, Acne-Prone","Acne, Dryness",NULL,Sensitive to Tea Tree Oil
51,Tea Tree Facial Scrub 250ml,Tea Tree,Scrub,2210.0,Tea Tree Oil,Tea Tree Oil,"Exfoliates, treats acne",Possible dryness,1,Standard,Weekly,"Apply to wet face, scrub gently","Oily, Acne-Prone","Acne, Oiliness",NULL,Sensitive to Tea Tree Oil
52,Prevense Fair Intense 1 For All Skin Types 50ml,Prevense,Treatment,3250.0,Whitening Extracts,Whitening Extracts,"Whitens, brightens",NULL,1,Standard,Daily,"Apply to cleansed face, massage in",All Skin Types,"Dullness, Uneven Tone",NULL,NULL
53,Prevense Fair Intense 2 For All Skin Types 50ml,Prevense,Treatment,2115.0,Whitening Extracts,Whitening Extracts,"Whitens, brightens",NULL,1,Standard,Daily,"Apply to cleansed face, massage in",All Skin Types,"Dullness, Uneven Tone",NULL,NULL
54,Prevense Cleanser for All Skin Types 120ml,Prevense,Cleanser,825.0,Natural Extracts,Natural Extracts,"Cleanses, refreshes",NULL,1,Standard,Daily,"Apply to wet face, lather and rinse",All Skin Types,"Dullness, Oiliness",NULL,NULL
55,Prevense Grape Seed & Jojoba Facial Wash For Sensitive Skin 120ml,Prevense,Face Wash,990.0,"Grape Seed, Jojoba","Grape Seed, Jojoba","Nourishes, soothes",NULL,1,Standard,Daily,"Apply to wet face, lather and rinse",Sensitive Skin,"Sensitivity, Dryness",NULL,NULL
56,Prevense Apricot Facial Scrub For Normal To Dry Skin 120ml,Prevense,Scrub,1290.0,Apricot Extracts,Apricot Extracts,"Exfoliates, moisturizes",NULL,1,Standard,Weekly,"Apply to wet face, scrub gently",Normal to Dry,"Dryness, Dullness",NULL,NULL
57,Prevense Grape Fruit Scrub & Cleanser For Oily Skin 120ml,Prevense,Scrub,1290.0,Grapefruit Extracts,Grapefruit Extracts,"Cleanses, controls oil",NULL,1,Standard,Weekly,"Apply to wet face, scrub gently",Oily Skin,"Oiliness, Dullness",NULL,NULL
58,Prevense Strawberry & Aloe Facial Wash For Normal To Combination Skin 120ml,Prevense,Face Wash,990.0,"Strawberry, Aloe","Strawberry, Aloe","Moisturizes, soothes",NULL,1,Standard,Daily,"Apply to wet face, lather and rinse",Normal to Combination,"Dryness, Sensitivity",NULL,NULL
59,St. Ives Fresh Skin Apricot Face Scrub 170g,St. Ives,Scrub,3150.0,Apricot Extracts,Apricot Extracts,"Exfoliates, smoothens skin",Possible irritation,1,Standard,Weekly,"Apply to wet face, scrub gently",All Skin Types,"Dullness, Dryness",NULL,NULL
60,St. Ives Oatmeal Scrub & Mask 170g,St. Ives,Scrub/Mask,3250.0,Oatmeal Extracts,Oatmeal Extracts,"Soothes, nourishes",NULL,1,Standard,Weekly,"Apply to wet face, scrub/mask gently",All Skin Types,"Sensitivity, Dryness",NULL,NULL
61,Nivea Purifying Face Wash with Ocean Algae & Hydra IQ 150ml,Nivea,Face Wash,1990.0,"Ocean Algae, Hydra IQ",Ocean Algae,"Purifies, refreshes",NULL,1,Standard,Daily,"Apply to wet face, lather and rinse",Oily Skin,"Oiliness, Dullness",NULL,NULL
62,Nivea Refreshing Face Wash with Vitamin E & Hydra IQ 150ml,Nivea,Face Wash,1990.0,"Vitamin E, Hydra IQ",Vitamin E,"Refreshes, nourishes",NULL,1,Standard,Daily,"Apply to wet face, lather and rinse",All Skin Types,"Dullness, Dryness",NULL,NULL
63,Neutrogena Deep Clean Facial Cleanser 200ml,Neutrogena,Cleanser,2890.0,Beta Hydroxy Acid,Beta Hydroxy Acid,"Cleanses deeply, removes oil",Possible dryness,1,Standard,Daily,"Apply to wet face, lather and rinse","Oily, Acne-Prone","Acne, Oiliness",NULL,Sensitive to Beta Hydroxy Acid
64,Neutrogena Hydro Boost Water Gel Cleanser 200ml,Neutrogena,Cleanser,3150.0,Hyaluronic Acid,Hyaluronic Acid,"Hydrates, refreshes",NULL,1,Standard,Daily,"Apply to wet face, lather and rinse",All Skin Types,"Dryness, Dullness",NULL,NULL
65,Neutrogena Oil-Free Acne Wash Pink Grapefruit Foaming Scrub 125ml,Neutrogena,Scrub,2150.0,Pink Grapefruit,Pink Grapefruit,"Treats acne, exfoliates",Possible dryness,1,Standard,Weekly,"Apply to wet face, scrub gently","Oily, Acne-Prone","Acne, Oiliness",NULL,Sensitive to Grapefruit
66,Clean & Clear Foaming Face Wash 100ml,Clean & Clear,Face Wash,1290.0,Triclosan,Triclosan,"Removes oil, prevents acne",Possible dryness,1,Standard,Daily,"Apply to wet face, lather and rinse","Oily, Acne-Prone","Acne, Oiliness",NULL,Sensitive to Triclosan
67,Clean & Clear Morning Energy Face Wash Brightening Berry 100ml,Clean & Clear,Face Wash,1390.0,Berry Extracts,Berry Extracts,"Brightens, refreshes",NULL,1,Standard,Daily,"Apply to wet face, lather and rinse",All Skin Types,"Dullness, Dryness",NULL,NULL
68,Garnier Pure Active Neem Face Wash 100ml,Garnier,Face Wash,1500.0,Neem Extracts,Neem Extracts,"Treats acne, controls oil",Possible dryness,1,Standard,Daily,"Apply to wet face, lather and rinse","Oily, Acne-Prone","Acne, Oiliness",NULL,Sensitive to Neem
69,Garnier Light Complete White Speed Fairness Face Wash 100ml,Garnier,Face Wash,1500.0,Lemon Extracts,Lemon Extracts,"Brightens, cleanses",NULL,1,Standard,Daily,"Apply to wet face, lather and rinse",All Skin Types,"Dullness, Uneven Tone",NULL,NULL
70,Himalaya Herbals Purifying Neem Face Wash 150ml,Himalaya,Face Wash,1200.0,"Neem, Turmeric","Neem, Turmeric","Treats acne, purifies skin",Possible dryness,1,Standard,Daily,"Apply to wet face, lather and rinse","Oily, Acne-Prone","Acne, Oiliness",NULL,"Sensitive to Neem, Turmeric"
71,Himalaya Herbals Gentle Exfoliating Walnut Scrub 100g,Himalaya,Scrub,1350.0,"Walnut, Apple","Walnut, Apple","Exfoliates, smoothens skin",Possible irritation,1,Standard,Weekly,"Apply to wet face, scrub gently",All Skin Types,"Dullness, Dryness",NULL,NULL
72,Himalaya Herbals Clear Complexion Whitening Face Wash 150ml,Himalaya,Face Wash,1200.0,"Saffron, Licorice","Saffron, Licorice","Brightens, cleanses",NULL,1,Standard,Daily,"Apply to wet face, lather and rinse",All Skin Types,"Dullness, Uneven Tone",NULL,NULL
73,Himalaya Herbals Oil Clear Lemon Foaming Face Wash 150ml,Himalaya,Face Wash,1200.0,"Lemon, Honey","Lemon, Honey","Controls oil, refreshes",NULL,1,Standard,Daily,"Apply to wet face, lather and rinse",Oily Skin,"Oiliness, Dullness",NULL,NULL
74,OxyGlow Pearl Whitening Face Wash 100ml,OxyGlow,Face Wash,1750.0,Pearl Extracts,Pearl Extracts,"Brightens, cleanses",NULL,1,Standard,Daily,"Apply to wet face, lather and rinse",All Skin Types,"Dullness, Uneven Tone",NULL,NULL
75,OxyGlow Gold & Saffron Face Wash 100ml,OxyGlow,Face Wash,1885.0,"Gold, Saffron","Gold, Saffron","Brightens, revitalizes",NULL,1,Standard,Daily,"Apply to wet face, lather and rinse",All Skin Types,"Dullness, Dryness",NULL,NULL
76,Jovees Tea Tree Oil Balance Face Wash 120ml,Jovees,Face Wash,2330.0,"Tea Tree Oil, Aloe Vera",Tea Tree Oil,"Balances oil, prevents acne",NULL,1,Standard,Daily,"Apply to wet face, lather and rinse","Oily, Acne-Prone","Excess Oil, Acne",NULL,NULL
77,Jovees Grape Face Wash for a Brighter & Glowing Skin 120ml,Jovees,Face Wash,1865.0,"Grape Extracts, Vitamin E",Grape Extracts,"Brightens, nourishes",NULL,1,Standard,Daily,"Apply to wet face, lather and rinse",All Skin Types,"Dullness, Dryness",NULL,NULL
78,Jovees Strawberry Face Wash for a Sheer Moisture & Glowing Skin 120ml,Jovees,Face Wash,1710.0,"Strawberry Extracts, Aloe Vera",Strawberry Extracts,"Moisturizes, brightens",NULL,1,Standard,Daily,"Apply to wet face, lather and rinse",Normal to Dry,"Dullness, Dryness",NULL,NULL
79,Prevense Neem Face Wash for Oil & Acne Prone Skin 100ml,Prevense,Face Wash,1150.0,"Neem, Tea Tree Oil","Neem, Tea Tree Oil","Prevents acne, controls oil",NULL,1,Standard,Daily,"Apply to wet face, lather and rinse","Oily, Acne-Prone","Excess Oil, Acne",NULL,NULL
80,Himalaya Oil Clear Lemon Face Wash 100ml,Himalaya,Face Wash,1391.2,"Lemon, Honey","Lemon, Honey","Clears oil, brightens",NULL,1,Standard,Daily,"Apply to wet face, lather and rinse","Oily, Combination","Excess Oil, Dullness",NULL,NULL
81,Himalaya Tan Removal Orange Face Wash 100ml,Himalaya,Face Wash,1391.2,Orange Peel Extract,Orange Peel Extract,"Removes tan, brightens",NULL,1,Standard,Daily,"Apply to wet face, lather and rinse",All Skin Types,"Tanning, Dullness",NULL,NULL
82,Aroma Magic Mint Cleanser 25g,Aroma Magic,Cleanser,869.5,"Mint, Aloe Vera","Mint, Aloe Vera","Refreshes, cleanses",NULL,1,Standard,Daily,"Apply to wet face, lather and rinse",All Skin Types,"Dullness, Dryness",NULL,NULL
83,Tea Tree Moisturising Treatment Pack,Tea Tree,Treatment,4760.0,"Tea Tree Oil, Aloe Vera",Tea Tree Oil,"Moisturizes, treats acne",NULL,1,Standard,Weekly,"Apply a thick layer, leave for 15 min",All Skin Types,"Acne, Dryness",NULL,NULL
84,O''nelle Soothes & Moisturizers Cleansing Milk 100ml,O''nelle,Cleanser,450.0,"Aloe Vera, Milk Extract","Aloe Vera, Milk Extract","Soothes, moisturizes",NULL,1,Standard,Daily,"Apply to wet face, lather and rinse",All Skin Types,"Dryness, Sensitivity",NULL,NULL
85,Neutrogena Rapid Wrinkle Repair Retinol Anti Ageing Moisturiser SPF 15 29ml,Neutrogena,Moisturiser,10386.0,"Retinol, Hyaluronic Acid","Retinol, Hyaluronic Acid","Reduces wrinkles, hydrates",NULL,0,High,Daily,Apply evenly before sun exposure,All Skin Types,"Aging, Wrinkles",NULL,NULL
86,Neutrogena Rapid Wrinkle Repair Retinol Anti Ageing Night Moisturiser 29ml,Neutrogena,Moisturiser,10847.6,"Retinol, Hyaluronic Acid","Retinol, Hyaluronic Acid","Reduces wrinkles, hydrates",NULL,0,High,Nightly,Apply evenly before bedtime,All Skin Types,"Aging, Wrinkles",NULL,NULL
87,L''Oreal Paris Age Perfect Collagen Tightening Cream SPF15 50ml For age 50+,L''Oreal Paris,Moisturiser,8977.0,"Collagen, SPF 15","Collagen, SPF 15","Tightens, protects from sun",NULL,0,High,Daily,Apply evenly before sun exposure,Mature Skin (50+),"Aging, Sagging",NULL,NULL
88,L''Oreal Paris New Formula Age Perfect Collagen Tightening Night Cream 50ml,L''Oreal Paris,Moisturiser,8977.0,Collagen,Collagen,"Tightens, hydrates",NULL,0,High,Nightly,Apply evenly before bedtime,Mature Skin (50+),"Aging, Sagging",NULL,NULL
89,L''Oreal Paris Revitalift Anti-Wrinkle + Extra-Firming Day Cream SPF15,L''Oreal Paris,Moisturiser,8595.0,"Pro-Retinol, SPF 15","Pro-Retinol, SPF 15","Firms, reduces wrinkles, protects",NULL,0,High,Daily,Apply evenly before sun exposure,All Skin Types,"Aging, Wrinkles",NULL,NULL
90,L''Oreal Paris New Formula Revitalift Hydrating Day Cream 50ml,L''Oreal Paris,Moisturiser,8977.0,"Hyaluronic Acid, Vitamin C","Hyaluronic Acid, Vit. C","Hydrates, brightens",NULL,0,High,Daily,Apply evenly before sun exposure,All Skin Types,"Dryness, Dullness",NULL,NULL
