Id,Name,Brand,Category,Price,Ingredients,Key Ingredients,Benefit,Potential Side Effects,Natural,Concentrations,Usage,Application Tips,Skin Type,Skin Concern,Average Rating,Customer Reviews,Expert Review,Allergens,Sensitivities,Claims 
20,OxyGlow Gold & Saffron Face Wash 100ml,OxyGlow,Face Wash,"1,885.00","Gold, Saffron","Gold, Saffron","Brightens, rejuvenates skin",None reported,Yes,Standard,Daily,"Apply to wet face, lather and rinse",All Skin Types,"Dullness, Aging",4.5,"- ""Leaves skin glowing."" - 5 stars <br> - ""Love the saffron scent."" - 4.5 stars <br> - ""Very effective."" - 4 stars <br> - ""Great for daily use."" - 4.5 stars <br> - ""Highly recommend."" - 5 stars",Excellent for brightening,None,None,"Brightens, rejuvenates skin"
21,Jovees Tea Tree Oil Balance Face Wash 120ml,Jovees,Face Wash,"2,330.00","Tea Tree Oil, Neem","Tea Tree Oil, Neem","Controls oil, treats acne",Possible dryness,Yes,Standard,Daily,"Apply to wet face, lather and rinse",Oily Skin,"Oiliness, Acne",4.5,"- ""Controls oil well."" - 5 stars <br> - ""Great for acne."" - 4.5 stars <br> - ""Very effective."" - 4 stars <br> - ""Leaves skin fresh."" - 4.5 stars <br> - ""Highly recommend."" - 5 stars",Great for oily skin,None,Sensitive to Tea Tree Oil,"Controls oil, treats acne"
22,Jovees Grape Face Wash for a Brighter & Glowing Skin 120ml,Jovees,Face Wash,"1,865.00","Grape Extract, Aloe","Grape Extract, Aloe","Brightens, hydrates skin",None reported,Yes,Standard,Daily,"Apply to wet face, lather and rinse",All Skin Types,"Dullness, Dryness",4.4,"- ""Skin looks glowing."" - 4.5 stars <br> - ""Very hydrating."" - 4 stars <br> - ""Great for daily use."" - 4.5 stars <br> - ""Leaves skin soft."" - 4.5 stars <br> - ""Noticeable brightening."" - 4 stars",Excellent for brightening,None,None,"Brightens, hydrates skin"
23,Jovees Strawberry Face Wash for Sheer Moisture & Glowing Skin 120ml,Jovees,Face Wash,"1,710.00","Strawberry, Aloe Vera","Strawberry, Aloe Vera","Moisturizes, brightens skin",None reported,Yes,Standard,Daily,"Apply to wet face, lather and rinse",All Skin Types,"Dullness, Dryness",4.4,"- ""Skin feels soft and glowing."" - 4.5 stars <br> - ""Very hydrating."" - 4 stars <br> - ""Love the strawberry scent."" - 4.5 stars <br> - ""Great for daily use."" - 4.5 stars <br> - ""Noticeable glow."" - 4 stars",Excellent for hydration and glow,None,None,"Moisturizes, brightens skin"
24,Prevense Neem Face Wash for Oil & Acne Prone Skin 100ml,Prevense,Face Wash,"1,150.00","Neem, Aloe Vera","Neem, Aloe Vera","Controls oil, treats acne",Possible dryness,Yes,Standard,Daily,"Apply to wet face, lather and rinse",Oily Skin,"Oiliness, Acne",4.5,"- ""Controls oil well."" - 5 stars <br> - ""Great for acne."" - 4.5 stars <br> - ""Very effective."" - 4 stars <br> - ""Leaves skin fresh."" - 4.5 stars <br> - ""Highly recommend."" - 5 stars",Great for oily skin,None,Sensitive to Neem,"Controls oil, treats acne"
25,Himalaya Oil Clear Lemon Face Wash 100ml,Himalaya,Face Wash,"1,391.20","Lemon, Honey","Lemon, Honey","Clears oil, brightens skin",None reported,Yes,Standard,Daily,"Apply to wet face, lather and rinse",Oily Skin,"Oiliness, Dullness",4.4,"- ""Skin feels fresh."" - 4.5 stars <br> - ""Great for oily skin."" - 4 stars <br> - ""Very effective."" - 4.5 stars <br> - ""Leaves skin glowing."" - 4.5 stars <br> - ""Noticeable oil control."" - 4 stars",Excellent for oily skin,None,None,"Clears oil, brightens skin"
26,Tea Tree Moisturising Treatment Pack,Tea Tree,Treatment,"4,760.00",Tea Tree Oil,Tea Tree Oil,"Moisturizes, treats acne",Possible dryness,Yes,Standard,Weekly,"Apply to cleansed face, leave on","Oily, Acne-Prone","Acne, Dryness",4.5,"- ""Great for acne."" - 4.5 stars <br> - ""Skin feels moisturized."" - 4 stars <br> - ""Love the tea tree scent."" - 4.5 stars <br> - ""Noticeable acne reduction."" - 4 stars <br> - ""Effective treatment."" - 4.5 stars",Excellent for acne treatment,None,Sensitive to Tea Tree Oil,"Moisturizes, treats acne"
27,Tea Tree Facial Scrub,Tea Tree,Scrub,"2,210.00",Tea Tree Oil,Tea Tree Oil,"Exfoliates, treats acne",Possible dryness,Yes,Standard,Weekly,"Gently massage on wet face, rinse","Oily, Acne-Prone","Acne, Dullness",4.4,"- ""Skin feels smooth."" - 4.5 stars <br> - ""Great for acne."" - 4 stars <br> - ""Effective exfoliation."" - 4.5 stars <br> - ""Love the scrub particles."" - 4 stars <br> - ""Noticeable acne reduction."" - 4.5 stars",Great for exfoliating,None,Sensitive to Tea Tree Oil,"Exfoliates, treats acne"
28,Prevense Fair Intense 1 For All Skin Types 50ml,Prevense,Cream,"3,250.00",Fairness Agents,Fairness Agents,"Evens skin tone, brightens",None reported,Yes,Standard,Daily,Apply evenly on cleansed face,All Skin Types,Uneven Skin Tone,4.3,"- ""Skin tone looks even."" - 4.5 stars <br> - ""Brightens complexion."" - 4 stars <br> - ""Love the texture."" - 4.5 stars <br> - ""Effective for daily use."" - 4 stars <br> - ""Noticeable fairness."" - 4.5 stars",Effective for skin tone,None,None,"Evens skin tone, brightens"
29,Prevense Fair Intense 2 For All Skin Types 50ml,Prevense,Cream,"2,115.00",Fairness Agents,Fairness Agents,"Evens skin tone, brightens",None reported,Yes,Standard,Daily,Apply evenly on cleansed face,All Skin Types,Uneven Skin Tone,4.2,"- ""Noticeable skin tone improvement."" - 4.5 stars <br> - ""Brightens complexion."" - 4 stars <br> - ""Love the texture."" - 4.5 stars <br> - ""Effective for daily use."" - 4 stars <br> - ""Noticeable fairness."" - 4 stars",Effective for skin tone,None,None,"Evens skin tone, brightens"
30,Prevense Cleanser for All Skin Types 120ml,Prevense,Cleanser,825,Cleansing Agents,Cleansing Agents,"Cleanses, refreshes skin",None reported,Yes,Standard,Daily,"Apply to wet face, lather and rinse",All Skin Types,"Dullness, Oiliness",4.5,"- ""Skin feels clean."" - 4.5 stars <br> - ""Great for daily use."" - 4 stars <br> - ""Refreshing."" - 4.5 stars <br> - ""Love the gentle cleanse."" - 4 stars <br> - ""Effective for oily skin."" - 4.5 stars",Effective daily cleanser,None,None,"Cleanses, refreshes skin"
31,Prevense Grape Seed & Jojoba Facial Wash For Sensitive Skin 120ml,Prevense,Face Wash,990,"Grape Seed, Jojoba","Grape Seed, Jojoba","Nourishes, soothes sensitive skin",None reported,Yes,Standard,Daily,"Apply to wet face, lather and rinse",Sensitive Skin,"Dryness, Sensitivity",4.4,"- ""Gentle on sensitive skin."" - 4.5 stars <br> - ""Soothes dryness."" - 4 stars <br> - ""Love the natural ingredients."" - 4.5 stars <br> - ""Effective for daily use."" - 4 stars <br> - ""Noticeable nourishment."" - 4.5 stars",Excellent for sensitive skin,None,None,"Nourishes, soothes sensitive skin"
32,Prevense Apricot Facial Scrub For Normal To Dry Skin 120ml,Prevense,Scrub,"1,290.00","Apricot, Almond","Apricot, Almond","Exfoliates, moisturizes",None reported,Yes,Standard,Weekly,"Gently massage on wet face, rinse",Normal to Dry,"Dryness, Dullness",4.3,"- ""Skin feels smooth."" - 4.5 stars <br> - ""Moisturizes well."" - 4 stars <br> - ""Love the apricot scent."" - 4.5 stars <br> - ""Effective exfoliation."" - 4 stars <br> - ""Noticeable softness."" - 4.5 stars",Great for exfoliating,None,None,"Exfoliates, moisturizes"
33,Prevense Grape Fruit Scrub & Cleanser For Oily Skin 120ml,Prevense,Scrub,"1,290.00",Grapefruit Extract,Grapefruit Extract,"Cleanses, refreshes oily skin",None reported,Yes,Standard,Weekly,"Gently massage on wet face, rinse",Oily Skin,"Oiliness, Dullness",4.4,"- ""Cleanses well."" - 4.5 stars <br> - ""Great for oily skin."" - 4 stars <br> - ""Refreshing."" - 4.5 stars <br> - ""Effective exfoliation."" - 4 stars <br> - ""Love the grapefruit scent."" - 4.5 stars",Excellent for oily skin,None,None,"Cleanses, refreshes oily skin"
34,Prevense Men Face Wash For All Skin Types 120ml,Prevense,Face Wash,990,Active Agents,Active Agents,"Energizes, cleanses",None reported,Yes,Standard,Daily,"Apply to wet face, lather and rinse",All Skin Types,"Dullness, Oiliness",4.3,"- ""Energizes skin."" - 4.5 stars <br> - ""Great for daily use."" - 4 stars <br> - ""Cleanses well."" - 4.5 stars <br> - ""Love the fresh feel."" - 4 stars <br> - ""Effective for all skin types."" - 4.5 stars",Energizing face wash,None,None,"Energizes, cleanses"
35,Prevense Strawberry & Aloe Facial Wash For Normal To Combination Skin 120ml,Prevense,Face Wash,990,"Strawberry, Aloe","Strawberry, Aloe","Hydrates, refreshes",None reported,Yes,Standard,Daily,"Apply to wet face, lather and rinse",Normal to Combo,"Dryness, Dullness",4.4,"- ""Skin feels hydrated."" - 4.5 stars <br> - ""Love the strawberry scent."" - 4 stars <br> - ""Very refreshing."" - 4.5 stars <br> - ""Effective for daily use."" - 4 stars <br> - ""Noticeable freshness."" - 4.5 stars",Great for hydration,None,None,"Hydrates, refreshes"
36,Prevense Apricot & Almond Facial Wash For Dry Skin 120ml,Prevense,Face Wash,670,"Apricot, Almond","Apricot, Almond","Nourishes, moisturizes",None reported,Yes,Standard,Daily,"Apply to wet face, lather and rinse",Dry Skin,"Dryness, Dullness",4.3,"- ""Moisturizes well."" - 4.5 stars <br> - ""Love the apricot scent."" - 4 stars <br> - ""Gentle on dry skin."" - 4.5 stars <br> - ""Effective for daily use."" - 4 stars <br> - ""Noticeable nourishment."" - 4.5 stars",Excellent for dry skin,None,None,"Nourishes, moisturizes"
37,Prevense Carrot & Pumpkin Facial Wash For Mature Dry Skin 120ml,Prevense,Face Wash,990,"Carrot, Pumpkin","Carrot, Pumpkin","Nourishes, revitalizes",None reported,Yes,Standard,Daily,"Apply to wet face, lather and rinse",Mature Dry Skin,"Dryness, Dullness",4.4,"- ""Revitalizes skin."" - 4.5 stars <br> - ""Love the carrot and pumpkin blend."" - 4 stars <br> - ""Effective for mature skin."" - 4.5 stars <br> - ""Moisturizes well."" - 4 stars <br> - ""Noticeable nourishment."" - 4.5 stars",Revitalizing face wash,None,None,"Nourishes, revitalizes"
38,Swabha Ceylon Natural Brightening Face Wash 100ml,Swabha Ceylon,Face Wash,500,Natural Extracts,Natural Extracts,"Brightens, rejuvenates",None reported,Yes,Standard,Daily,"Apply to wet face, lather and rinse",All Skin Types,"Dullness, Uneven Tone",4.2,"- ""Brightens skin."" - 4.5 stars <br> - ""Love the natural extracts."" - 4 stars <br> - ""Feels rejuvenating."" - 4.5 stars <br> - ""Effective for daily use."" - 4 stars <br> - ""Noticeable brightness."" - 4.5 stars",Brightening effect,None,None,"Brightens, rejuvenates"
39,Dr. Rashel - Niacinamide Whitening Face Wash 100g,Dr. Rashel,Face Wash,"1,457.00",Niacinamide,Niacinamide,"Whitens, brightens skin",None reported,Yes,Standard,Daily,"Apply to wet face, lather and rinse",All Skin Types,"Dullness, Uneven Tone",4.3,"- ""Skin looks brighter."" - 4.5 stars <br> - ""Love the niacinamide."" - 4 stars <br> - ""Effective for daily use."" - 4.5 stars <br> - ""Noticeable whitening."" - 4 stars <br> - ""Gentle on skin."" - 4.5 stars",Whitening effect,None,None,"Whitens, brightens skin"
40,Dr. Rashel- 24K Gold Anti-Aging Face Wash 100g,Dr. Rashel,Face Wash,"1,588.60",24K Gold,24K Gold,"Anti-aging, rejuvenates skin",None reported,Yes,Standard,Daily,"Apply to wet face, lather and rinse",All Skin Types,"Aging, Dullness",4.4,"- ""Skin feels rejuvenated."" - 4.5 stars <br> - ""Love the gold infusion."" - 4 stars <br> - ""Effective for daily use."" - 4.5 stars <br> - ""Noticeable anti-aging benefits."" - 4 stars <br> - ""Gentle on skin."" - 4.5 stars",Rejuvenating effect,None,None,"Anti-aging, rejuvenates skin"
43,OxyGlow Pearl Whitening Face Wash 100ml,OxyGlow,Face Wash,"1,750.00",Pearl Extracts,Pearl Extracts,"Whitens, brightens skin",None reported,Yes,Standard,Daily,"Apply to wet face, lather and rinse",All Skin Types,"Dullness, Uneven Tone",4.3,"- ""Brightens skin."" - 4.5 stars <br> - ""Love the pearl extracts."" - 4 stars <br> - ""Effective for daily use."" - 4.5 stars <br> - ""Noticeable whitening."" - 4 stars <br> - ""Gentle on skin."" - 4.5 stars",Brightening effect,None,None,"Whitens, brightens skin"
44,OxyGlow Gold & Saffron Face Wash 100ml,OxyGlow,Face Wash,"1,885.00","Gold, Saffron","Gold, Saffron","Nourishes, revitalizes",None reported,Yes,Standard,Daily,"Apply to wet face, lather and rinse",All Skin Types,"Dullness, Aging",4.4,"- ""Skin feels revitalized."" - 4.5 stars <br> - ""Love the gold and saffron blend."" - 4 stars <br> - ""Effective for daily use."" - 4.5 stars <br> - ""Moisturizes well."" - 4 stars <br> - ""Noticeable nourishment."" - 4.5 stars",Rejuvenating effect,None,None,"Nourishes, revitalizes"
45,Jovees Tea Tree Oil Balance Face Wash 120ml,Jovees,Face Wash,"2,330.00",Tea Tree Oil,Tea Tree Oil,"Balances oil, treats acne",Possible dryness,Yes,Standard,Daily,"Apply to wet face, lather and rinse","Oily, Acne-Prone","Acne, Oiliness",4.5,"- ""Controls oil well."" - 4.5 stars <br> - ""Great for acne-prone skin."" - 4 stars <br> - ""Effective for daily use."" - 4.5 stars <br> - ""Noticeable reduction in acne."" - 4 stars <br> - ""Love the tea tree scent."" - 4.5 stars",Excellent for acne,None,Sensitive to Tea Tree Oil,"Balances oil, treats acne"
46,Jovees Grape Face Wash for a Brighter & Glowing Skin 120ml,Jovees,Face Wash,"1,865.00",Grape Extracts,Grape Extracts,"Brightens, refreshes",None reported,Yes,Standard,Daily,"Apply to wet face, lather and rinse",All Skin Types,"Dullness, Uneven Tone",4.4,"- ""Skin looks brighter."" - 4.5 stars <br> - ""Love the grape scent."" - 4 stars <br> - ""Effective for daily use."" - 4.5 stars <br> - ""Very refreshing."" - 4 stars <br> - ""Noticeable glow."" - 4.5 stars",Brightening effect,None,None,"Brightens, refreshes"
47,Jovees Strawberry Face Wash for a Sheer Moisture & Glowing Skin 120ml,Jovees,Face Wash,"1,710.00",Strawberry Extracts,Strawberry Extracts,"Moisturizes, brightens",None reported,Yes,Standard,Daily,"Apply to wet face, lather and rinse",Normal to Dry,"Dryness, Dullness",4.3,"- ""Skin feels hydrated."" - 4.5 stars <br> - ""Love the strawberry scent."" - 4 stars <br> - ""Very moisturizing."" - 4.5 stars <br> - ""Effective for daily use."" - 4 stars <br> - ""Noticeable glow."" - 4.5 stars",Great for hydration,None,None,"Moisturizes, brightens"
48,Prevense Neem Face Wash for Oil & Acne Prone Skin 100ml,Prevense,Face Wash,"1,150.00",Neem Extracts,Neem Extracts,"Treats acne, controls oil",Possible dryness,Yes,Standard,Daily,"Apply to wet face, lather and rinse","Oily, Acne-Prone","Acne, Oiliness",4.5,"- ""Great for acne-prone skin."" - 4.5 stars <br> - ""Controls oil well."" - 4 stars <br> - ""Effective for daily use."" - 4.5 stars <br> - ""Noticeable reduction in acne."" - 4 stars <br> - ""Love the neem scent."" - 4.5 stars",Excellent for acne,None,Sensitive to Neem,"Treats acne, controls oil"
49,Himalaya Oil Clear Lemon Face Wash 100ml,Himalaya,Face Wash,"1,391.20",Lemon Extracts,Lemon Extracts,"Controls oil, refreshes",None reported,Yes,Standard,Daily,"Apply to wet face, lather and rinse",Oily Skin,"Oiliness, Dullness",4.4,"- ""Controls oil well."" - 4.5 stars <br> - ""Love the lemon scent."" - 4 stars <br> - ""Effective for daily use."" - 4.5 stars <br> - ""Very refreshing."" - 4 stars <br> - ""Noticeable oil control."" - 4.5 stars",Excellent for oily skin,None,None,"Controls oil, refreshes"
50,Himalaya Tan Removal Orange Face Wash 100ml,Himalaya,Face Wash,"1,391.20",Orange Extracts,Orange Extracts,"Removes tan, brightens",None reported,Yes,Standard,Daily,"Apply to wet face, lather and rinse",All Skin Types,"Dullness, Uneven Tone",4.3,"- ""Skin looks brighter."" - 4.5 stars <br> - ""Love the orange scent."" - 4 stars <br> - ""Effective for daily use."" - 4.5 stars <br> - ""Noticeable tan removal."" - 4 stars <br> - ""Gentle on skin."" - 4.5 stars",Tan removal effect,None,None,"Removes tan, brightens"
